MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
21,103,664,204,248,0,1,1
22,64,362,204,246,0,1,1
23,64,798,204,250,1,0,1
24,88,696,204,240,0,0,0
25,247,748,204,256,0,1,1
26,68,656,204,247,0,1,1
27,56,732,204,245,0,0,0
28,77,794,204,255,0,0,0
29,54,790,204,247,0,0,0
30,59,623,204,256,0,1,1
31,72,749,204,252,0,0,0
32,84,628,204,250,0,1,1
33,122,592,204,248,0,1,1
34,117,510,204,204,1,0,1
35,110,723,204,243,0,1,1
36,122,737,204,256,0,1,1
37,64,312,204,258,0,1,1
38,44,78,204,204,1,1,1
39,61,737,204,251,0,0,0
40,59,309,204,263,0,1,1
41,68,492,204,204,1,0,1
42,61,782,204,268,0,0,0
43,51,776,204,260,0,0,0
44,80,686,204,266,0,1,1
45,63,765,204,263,0,0,0
46,30,842,204,280,0,0,0
47,79,718,204,271,0,1,1
48,56,743,204,260,0,1,1
49,59,699,204,263,0,0,0
50,26,594,204,251,0,0,0
51,58,741,204,293,0,0,0
52,75,718,204,255,0,1,1
53,138,677,204,235,0,1,1
54,66,782,204,241,0,0,0
55,113,726,204,255,0,1,1
56,188,725,204,252,0,1,1
57,50,350,204,253,0,1,1
58,40,14,204,204,1,1,1
59,69,48,204,204,1,1,1
60,68,486,204,204,1,0,1
61,73,780,204,247,0,0,0
62,83,736,204,252,0,1,1
63,112,727,204,248,0,1,1
64,110,744,204,255,0,1,1
65,58,757,204,261,0,0,0
66,47,661,204,258,0,1,1
67,51,698,204,240,0,1,1
68,88,626,204,247,0,1,1
69,58,548,204,204,1,0,1
70,62,709,204,250,0,1,1
71,81,749,204,233,0,0,0
72,107,661,204,249,0,1,1
73,67,566,204,236,0,1,1
74,75,726,204,252,0,1,1
75,98,752,204,252,0,1,1
76,55,747,204,249,0,0,0
77,133,618,204,259,0,1,1
78,61,783,204,243,0,1,1
79,64,717,204,256,0,0,0
80,101,752,204,251,0,1,1
81,92,557,204,255,0,1,1
82,87,517,204,204,1,1,1
83,69,763,204,254,0,0,0
84,89,729,204,252,0,1,1
85,83,734,204,249,0,1,1
86,79,771,204,248,0,0,0
87,97,708,204,254,0,1,1
88,64,763,204,249,0,1,1
89,68,665,204,250,0,1,1
90,93,760,204,249,0,0,0
91,83,671,204,252,0,1,1
92,49,770,204,250,0,0,0
93,73,758,204,238,0,0,0
94,95,660,204,252,0,1,1
95,63,697,204,245,0,0,0
96,64,317,204,243,0,1,1
97,49,491,204,204,1,0,1
98,71,738,204,253,0,0,0
99,69,708,204,247,0,1,1
100,72,766,204,258,0,0,0
MVS0724.02 | 100 Measurements per MVS  #8
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,51,830,204,272,0,1,1
2,41,832,204,262,0,0,0
3,72,793,204,256,0,0,0
4,63,835,204,251,0,1,1
5,74,870,204,241,0,0,0
6,48,871,204,256,0,1,1
7,70,800,204,256,0,0,0
8,69,834,204,248,0,0,0
9,99,696,204,252,0,1,1
10,121,810,204,267,0,1,1
11,46,827,204,250,0,0,0
12,57,770,204,255,0,0,0
13,56,793,204,266,0,1,1
14,102,736,204,246,0,1,1
15,67,752,204,246,0,0,0
16,91,703,204,253,0,1,1
17,104,758,204,256,0,1,1
18,64,693,204,256,0,1,1
19,46,832,204,255,0,0,0
